timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5347.720389024205,1000,0.19999998807907104
2000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5410.750468745009,1000,0.19999998807907104
3000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5438.95014294908,1000,0.19999998807907104
4000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5369.554773994421,1000,0.19999998807907104
5000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5671.394359492954,1000,0.19999998807907104
6000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5554.387700297171,1000,0.19999998807907104
7000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5517.369589869065,1000,0.19999998807907104
8000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5461.906470457283,1000,0.19999998807907104
9000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5421.77349540461,1000,0.19999998807907104
10000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-5580.7292495104375,1000,0.19993999600410461
11000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-3149.914584218059,1000,0.15346674621105194
12000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-458.92384115049197,1000,0.12255203723907471
13000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-484.0953385002879,1000,0.09743297100067139
14000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-177.5247892329465,1000,0.07614327222108841
15000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-134.91858768282117,1000,0.0590566024184227
16000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-80.44136816411117,1000,0.04544008895754814
17000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-59.811684209881314,1000,0.03565165027976036
18000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-60.60650040103575,1000,0.028096100315451622
19000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-41.83983112220611,1000,0.0222870372235775
20000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-79.92326325389543,1000,0.01864766702055931
21000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-38.865855017267,1000,0.01551558542996645
22000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-75.39164158316234,1000,0.013476202264428139
23000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-31.901651442411353,1000,0.012149692513048649
24000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-85.15209500752518,1000,0.010591325350105762
25000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-22.529131860269565,1000,0.009645925834774971
26000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-33.70714041431541,1000,0.0089252395555377
27000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-38.24888767476695,1000,0.008454620838165283
28000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-31.286108709786344,1000,0.007878637872636318
29000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-99.66785929358761,1000,0.00696060573682189
30000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-30.145671867210936,1000,0.006293107755482197
31000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-56.20808797852635,1000,0.005937728565186262
32000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-58.395723001663605,1000,0.005463746841996908
33000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-112.3195472547959,1000,0.005152314901351929
34000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-34.00779330093975,1000,0.005485657136887312
35000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-67.50140660526549,1000,0.005203383509069681
36000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-28.260742067229547,1000,0.005034049041569233
37000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-38.31973497436238,1000,0.004434866830706596
38000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-100.4603082888623,1000,0.004242200404405594
39000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-72.94036696698194,1000,0.004824699833989143
40000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-32.709008911874086,1000,0.004793837200850248
41000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-90.57709792784419,1000,0.004541948437690735
42000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-113.19207282348681,1000,0.004577621817588806
43000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-98.92632616630712,1000,0.004404762759804726
44000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-42.16789513651365,1000,0.0042394301854074
45000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-47.6260832840154,1000,0.003943831659853458
46000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-29.638869737842615,1000,0.003611174877732992
47000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-125.91029399210903,1000,0.003170789685100317
48000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-36.33005952655877,1000,0.0026860630605369806
49000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-56.482061494748415,1000,0.002639881568029523
50000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-29.588338486679966,1000,0.0024320725351572037
51000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-28.196999425372475,1000,0.002201415365561843
52000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-42.46941418448938,1000,0.002058731857687235
53000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-35.70888718342587,1000,0.0019163511460646987
54000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-124.80409952382516,1000,0.0016137633938342333
55000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-67.08331864718221,1000,0.0018538086442276835
56000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-59.56077108561216,1000,0.002078081713989377
57000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-98.03024021158639,1000,0.0018829184118658304
58000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-30.738949471825478,1000,0.0018581902841106057
59000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-43.52478213605733,1000,0.0016990548465400934
60000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-50.35469407722926,1000,0.0015322316903620958
61000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-32.65841369089938,1000,0.0018430388299748302
62000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-45.29094430378341,1000,0.002079205820336938
63000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-122.67991559871393,1000,0.0019514260347932577
64000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-58.946859666640165,1000,0.0016712081851437688
65000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-56.509545816257685,1000,0.0014718418242409825
66000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-40.45179536884699,1000,0.0013190661557018757
67000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-27.135973972310715,1000,0.0013015636941418052
68000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-109.72527080309366,1000,0.0014691002434119582
69000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-67.63056778655363,1000,0.0014488925226032734
70000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-43.28412849410847,1000,0.0014442296233028173
71000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-105.64648673178029,1000,0.001231414615176618
72000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-40.912537066101216,1000,0.0011081274133175611
73000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-35.941020569750364,1000,0.001063818926922977
74000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-22.05272811670859,1000,0.0010289247147738934
75000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-80.44846529472542,1000,0.0011153449304401875
76000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-29.904337588614453,1000,0.0012962835608050227
77000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-120.39856755753955,1000,0.0013767614727839828
78000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-71.1293998572726,1000,0.0015235153259709477
79000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-33.71677217515348,1000,0.0016068588010966778
80000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-105.6525780647576,1000,0.0017011050367727876
81000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-64.2686319460409,1000,0.001817906741052866
82000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-42.53402167825129,1000,0.0019539922941476107
83000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-62.333061248352365,1000,0.0017751803388819098
84000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-24.109777726172116,1000,0.0018041571602225304
85000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-48.72709034480751,1000,0.001674610422924161
86000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-73.02646055259005,1000,0.0016602693358436227
87000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-84.00667272697692,1000,0.0017301987390965223
88000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-20.30795952381286,1000,0.0014941811095923185
89000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-51.503473198410866,1000,0.0012964684283360839
90000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-20.894666467446953,1000,0.0011737009044736624
91000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-20.93111241534824,1000,0.0011185479816049337
92000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-77.42477687279045,1000,0.0009837393881753087
93000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-96.4863033783456,1000,0.0009325309656560421
94000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-115.56138384778896,1000,0.0010050231358036399
95000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-30.746021730866847,1000,0.001207362045533955
96000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-45.85869106092082,1000,0.0011317157186567783
97000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-24.928126442783828,1000,0.0011284141801297665
98000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-44.24690239254327,1000,0.0010831396793946624
99000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-48.57590637527217,1000,0.0010183907579630613
100000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-23.644398009201495,1000,0.0008519853581674397
101000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-58.659185218542866,1000,0.0010344462934881449
102000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-72.48484889801011,1000,0.0013134005712345243
103000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-20.755033691938923,1000,0.001207325723953545
104000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-53.802852574806145,1000,0.0010914313606917858
105000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-20.956099643043366,1000,0.001239905715920031
106000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-25.049314515493844,1000,0.0015957452123984694
107000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-36.610614034143495,1000,0.0020970813930034637
108000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-34.72444239943868,1000,0.0023004449903964996
109000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-86.06640488255044,1000,0.0024842971470206976
110000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-119.58582111789025,1000,0.002613545162603259
111000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-47.51556687509043,1000,0.002855635480955243
112000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-31.249773937604377,1000,0.0027296780608594418
113000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-120.28465813112358,1000,0.00263145356439054
114000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-115.34406860579134,1000,0.002633401658385992
115000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-72.95396981953846,1000,0.0017839680658653378
116000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-97.02977388707644,1000,0.0014171272050589323
117000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-41.58020703430205,1000,0.0012018627021461725
118000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-43.8412884033596,1000,0.0011037082877010107
119000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-25.941345333542692,1000,0.0011471896432340145
120000,6,-60.0,1.0,auto,,auto_target_m060_scale_1,-99.74136978298507,1000,0.0012113975826650858
