mode,target_angle_deg,reward_scale,manual_alpha,final_step,n_seeds,return_mean,return_std,angle_error_mean_deg,target_occupancy_mean,alpha_mean
auto,-90.0,1.0,,0,15,-5925.918431648341,2404.7219320353142,89.52281821741502,0.030266666666666674,0.19999998807907102
auto,-60.0,1.0,,70000,10,-52.83531464128258,4.162778684415271,2.902289566547915,0.9835799999999999,0.0022845424013211804
auto,90.0,1.0,,0,15,-5978.247269665231,2464.8079959529264,90.47718178258495,0.030136666666666662,0.19999998807907102
auto,120.0,1.0,,0,15,-5398.759126423264,2911.6248261917453,77.75031451281528,0.032563333333333326,0.19999998807907102
manual,-60.0,1.0,0.003,10000,12,-7032.178052171029,1695.253029592262,101.57808262494287,0.03470416666666667,0.0030000000260769996
manual,-60.0,1.0,0.005,0,3,-6619.7151763726115,2341.453190582804,106.58693558597008,0.022933333333333333,0.0049999998882412
manual,-60.0,1.0,0.01,0,3,-6619.7151763726115,2341.453190582804,106.58693558597008,0.022933333333333333,0.0099999997764825
manual,-60.0,1.0,0.03,0,3,-6619.7151763726115,2341.453190582804,106.58693558597008,0.022933333333333333,0.0299999993294477
manual,-60.0,1.0,0.05,0,3,-6619.7151763726115,2341.453190582804,106.58693558597008,0.022933333333333333,0.050000000745058
manual,-60.0,1.0,0.1,0,3,-6619.7151763726115,2341.453190582804,106.58693558597008,0.022933333333333333,0.1000000014901161
manual,-60.0,1.0,0.2,0,3,-6619.7151763726115,2341.453190582804,106.58693558597008,0.022933333333333333,0.2000000029802322
manual,90.0,1.0,0.003,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.0030000000260769996
manual,90.0,1.0,0.005,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.0049999998882412
manual,90.0,1.0,0.01,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.0099999997764825
manual,90.0,1.0,0.03,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.0299999993294477
manual,90.0,1.0,0.05,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.050000000745058
manual,90.0,1.0,0.1,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.1000000014901161
manual,90.0,1.0,0.2,0,3,-5463.5354037707975,3158.680206269281,88.71562312817741,0.02538333333333333,0.2000000029802322
manual,120.0,1.0,0.003,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.0030000000260769996
manual,120.0,1.0,0.005,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.0049999998882412
manual,120.0,1.0,0.01,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.0099999997764825
manual,120.0,1.0,0.03,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.0299999993294477
manual,120.0,1.0,0.05,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.050000000745058
manual,120.0,1.0,0.1,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.1000000014901161
manual,120.0,1.0,0.2,0,3,-4800.754149040656,3623.1799583783395,73.41306441402993,0.030733333333333335,0.2000000029802322
