target_angle_deg,manual_alpha,n_seeds,final_return,auc,final_norm,auc_norm,selection_score
-60.0,0.003,3,-6619.7151763726115,0.0,0.0,0.0,0.0
-60.0,0.005,3,-6619.7151763726115,0.0,0.0,0.0,0.0
-60.0,0.01,3,-6619.7151763726115,0.0,0.0,0.0,0.0
-60.0,0.03,3,-6619.7151763726115,0.0,0.0,0.0,0.0
-60.0,0.05,3,-6619.7151763726115,0.0,0.0,0.0,0.0
-60.0,0.1,3,-6619.7151763726115,0.0,0.0,0.0,0.0
-60.0,0.2,3,-6619.7151763726115,0.0,0.0,0.0,0.0
90.0,0.003,3,-5463.5354037707975,0.0,0.0,0.0,0.0
90.0,0.005,3,-5463.5354037707975,0.0,0.0,0.0,0.0
90.0,0.01,3,-5463.5354037707975,0.0,0.0,0.0,0.0
90.0,0.03,3,-5463.5354037707975,0.0,0.0,0.0,0.0
90.0,0.05,3,-5463.5354037707975,0.0,0.0,0.0,0.0
90.0,0.1,3,-5463.5354037707975,0.0,0.0,0.0,0.0
90.0,0.2,3,-5463.5354037707975,0.0,0.0,0.0,0.0
120.0,0.003,3,-4800.754149040656,0.0,0.0,0.0,0.0
120.0,0.005,3,-4800.754149040656,0.0,0.0,0.0,0.0
120.0,0.01,3,-4800.754149040656,0.0,0.0,0.0,0.0
120.0,0.03,3,-4800.754149040656,0.0,0.0,0.0,0.0
120.0,0.05,3,-4800.754149040656,0.0,0.0,0.0,0.0
120.0,0.1,3,-4800.754149040656,0.0,0.0,0.0,0.0
120.0,0.2,3,-4800.754149040656,0.0,0.0,0.0,0.0
