timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5369.477279923147,1000,0.003000000026077032
2000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5425.818370140195,1000,0.003000000026077032
3000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5517.484114992226,1000,0.003000000026077032
4000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5587.318362709761,1000,0.003000000026077032
5000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5489.253410244165,1000,0.003000000026077032
6000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5516.6250243132745,1000,0.003000000026077032
7000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5620.466114781554,1000,0.003000000026077032
8000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5518.5292994302845,1000,0.003000000026077032
9000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5534.988450024183,1000,0.003000000026077032
10000,9,-60.0,1.0,manual,0.003,manual_target_m060_alpha_0p003_scale_1,-5416.267369733352,1000,0.003000000026077032
