timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-1105.3194290958418,1000,0.17224740982055664
2000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-183.59460144053705,1000,0.13044647872447968
3000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-152.58412262833772,1000,0.10089299827814102
4000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-71.46651456941757,1000,0.07792980223894119
5000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-70.09193523574942,1000,0.05945677310228348
6000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-90.0425432814514,1000,0.04496414586901665
7000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-133.99321143970877,1000,0.03411821275949478
8000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-66.61724430392093,1000,0.02629736438393593
9000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-50.9926017014813,1000,0.020595595240592957
10000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-51.78046871825123,1000,0.016325749456882477
11000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-55.91863622067807,1000,0.013271810486912727
12000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-55.28114755830311,1000,0.011138557456433773
13000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-100.30418780499726,1000,0.00958271138370037
14000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-86.70064611878215,1000,0.008693438023328781
15000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-154.19767365736038,1000,0.008600789122283459
16000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-109.5917015003566,1000,0.00854895543307066
17000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-133.13525477120322,1000,0.008929794654250145
18000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-28.10582773217183,1000,0.009309409186244011
19000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-97.64536600807045,1000,0.009440899826586246
20000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-117.09783597331894,1000,0.009495311416685581
21000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-104.56293928015025,1000,0.009473969228565693
22000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-54.700252772638095,1000,0.009537635371088982
23000,5,-150.0,1.0,auto,,auto_target_m150_scale_1,-51.06134347874693,1000,0.00942383985966444
