timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-501.9435662320675,1000,0.17209286987781525
2000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-312.0945420423451,1000,0.12817491590976715
3000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-223.69618144548534,1000,0.09709257632493973
4000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-203.61530748994738,1000,0.07440025359392166
5000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-192.70342588027182,1000,0.05660931020975113
6000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-182.14556784530996,1000,0.04237961769104004
7000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-847.4451025930479,1000,0.03197970986366272
8000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-247.4674238506789,1000,0.0244648028165102
9000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-169.20699257694358,1000,0.01871771551668644
10000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-163.41266302804257,1000,0.01496573444455862
11000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-324.14428765826716,1000,0.012270602397620678
12000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-199.07807646068704,1000,0.010370871983468533
13000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-151.88516143500834,1000,0.008914245292544365
14000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-178.3520917834614,1000,0.007761785294860601
15000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-149.5062655412947,1000,0.007006633561104536
16000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-150.10464481501614,1000,0.006947537884116173
17000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-196.8134837520191,1000,0.006694906856864691
18000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-196.8053545550623,1000,0.0061095403507351875
19000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-142.8965131978513,1000,0.005802784580737352
20000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-196.77747894814374,1000,0.005450262688100338
21000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-182.7502855610589,1000,0.0050032171420753
22000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-174.29187620351433,1000,0.004625639878213406
23000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-147.15701365501727,1000,0.004717756528407335
24000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-145.25054423458272,1000,0.005220009014010429
25000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-148.82383267043204,1000,0.005472586024552584
26000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-146.66658341605714,1000,0.005814822390675545
27000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-144.77768813177502,1000,0.005844137165695429
28000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-155.04653625037815,1000,0.005837653297930956
29000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-144.14942139302127,1000,0.0056368703953921795
30000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-146.37545191362625,1000,0.005732943303883076
31000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-165.23469286509703,1000,0.0056552584283053875
32000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-162.61359232886508,1000,0.005777196492999792
33000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-158.53829057712937,1000,0.005875176750123501
34000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-145.14849657089846,1000,0.006043414585292339
35000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-145.66968502449686,1000,0.006193377077579498
36000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-143.25980836914778,1000,0.006169993430376053
37000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-147.64227498511866,1000,0.006369608920067549
38000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-148.18554741670366,1000,0.006645753048360348
39000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-141.86488229701718,1000,0.006883069407194853
40000,0,90.0,0.1,auto_scaled,,auto_target_p090_scale_0.1,-142.5881194458501,1000,0.006895625032484531
