timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-27941.19677552161,1000,0.17879174649715424
2000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-20010.17601259239,1000,0.1466490626335144
3000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-15545.656568941406,1000,0.17033518850803375
4000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14016.099493746959,1000,0.2531343698501587
5000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-15370.754437753649,1000,0.3406166136264801
6000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14455.113839458661,1000,0.4137035608291626
7000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-15589.856743143566,1000,0.4560430943965912
8000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14895.479357368447,1000,0.4839857816696167
9000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-15361.764188354948,1000,0.5527810454368591
10000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14528.63115094278,1000,0.6731852889060974
11000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-15320.486498967064,1000,0.7838583588600159
12000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14842.144332155454,1000,0.8011837005615234
13000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14353.336553535579,1000,0.7061480283737183
14000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14517.619188809327,1000,0.6222337484359741
15000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14223.433695412901,1000,0.5743849277496338
16000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14840.87439109022,1000,0.6134156584739685
17000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-15278.72778624222,1000,0.698716938495636
18000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14553.55746534778,1000,0.7729068398475647
19000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14264.049392585961,1000,0.7752330899238586
20000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14258.061455594418,1000,0.7282673716545105
21000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14533.019934989683,1000,0.6738778352737427
22000,13,90.0,10.0,auto_scaled,,auto_target_p090_scale_10,-14905.684700692502,1000,0.6436797976493835
