target_angle_deg,manual_alpha,n_seeds,seeds_present,final_return,auc,final_return_norm,auc_norm,selection_score
-150.0,0.01,3,"0,1,2",-73.09350114884309,-41281880.903032966,1.0,0.9976530280738953,0.9988265140369477
-150.0,0.03,3,"0,1,2",-82.05100444302974,-41199996.13258004,0.9319055107470813,1.0,0.9659527553735406
-150.0,0.05,3,"0,1,2",-89.16216329977051,-42975318.70846246,0.8778468389896961,0.9491159073619022,0.9134813731757991
-150.0,0.1,3,"0,1,2",-105.14334747710838,-47384155.95349542,0.7563586811322602,0.8227503184541821,0.7895544997932211
-150.0,0.2,3,"0,1,2",-137.22345035945943,-56746927.16642118,0.5124873534630321,0.5543956407072224,0.5334414970851272
-150.0,0.5,3,"0,1,2",-204.63870241933645,-76089535.94434446,0.0,0.0,0.0
-60.0,0.03,3,"0,1,2",-573.5871645387787,-231325185.6487568,1.0,1.0,1.0
-60.0,0.05,3,"0,1,2",-585.6993903875738,-241415390.75425062,0.9683280883762798,0.8879525576882926,0.9281403230322862
-60.0,0.01,3,"0,1,2",-589.389933054621,-240775230.28855282,0.9586777943136146,0.8950612677789781,0.9268695310462963
-60.0,0.1,3,"0,1,2",-657.6617148182186,-248740034.08785525,0.7801558722982923,0.806615504298858,0.7933856882985751
-60.0,0.2,3,"0,1,2",-796.6234287771563,-275751778.98179746,0.4167888761300386,0.5066615493396418,0.46172521273484024
-60.0,0.5,3,"0,1,2",-956.015165497327,-321378156.93768317,0.0,0.0,0.0
90.0,0.01,3,"0,1,2",-1420.5893389725916,-452970631.06795245,1.0,1.0,1.0
90.0,0.03,3,"0,1,2",-1432.9057673000889,-453764244.23403674,0.9656807381521331,0.9920794499984822,0.9788800940753076
90.0,0.05,3,"0,1,2",-1443.328489818981,-455986630.84655577,0.9366382159385357,0.969899217815576,0.9532687168770558
90.0,0.1,3,"0,1,2",-1481.9378655046346,-465951023.2026438,0.8290546504189482,0.8704509333566016,0.849752791887775
90.0,0.2,3,"0,1,2",-1559.4624457916645,-487459702.914369,0.6130353386695659,0.6557864338197353,0.6344108862446507
90.0,0.5,3,"0,1,2",-1779.4673469581514,-553167355.5292847,0.0,0.0,0.0
120.0,0.01,3,"0,1,2",-475.3403880001045,-164687718.3474648,1.0,0.9682446636008015,0.9841223318004008
120.0,0.03,3,"0,1,2",-486.42094189484857,-162546075.450041,0.9547670453876608,1.0,0.9773835226938303
120.0,0.05,3,"0,1,2",-496.7323525797217,-163922380.9453792,0.9126738814602423,0.9795927490782412,0.9461333152692417
120.0,0.1,3,"0,1,2",-525.562572232165,-171755501.59925666,0.7949833734413865,0.8634466904992861,0.8292150319703363
120.0,0.2,3,"0,1,2",-579.0943860027019,-187973602.8061277,0.5764562018216127,0.6229718381324669,0.5997140199770399
120.0,0.5,3,"0,1,2",-720.3067845069859,-229988059.70431146,0.0,0.0,0.0
