timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-4572.414321671404,1000,0.029999999329447746
2000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3636.4635546804725,1000,0.029999999329447746
3000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3237.249765434206,1000,0.029999999329447746
4000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2964.939761442035,1000,0.029999999329447746
5000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2874.7626759146387,1000,0.029999999329447746
6000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1178.419001766083,1000,0.029999999329447746
7000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1292.168166363847,1000,0.029999999329447746
8000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1082.4537677751089,1000,0.029999999329447746
9000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1036.7307197757727,1000,0.029999999329447746
10000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1148.3625806635932,1000,0.029999999329447746
11000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1132.2056006504213,1000,0.029999999329447746
12000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2902.969608123069,1000,0.029999999329447746
13000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1388.8808933439902,1000,0.029999999329447746
14000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2868.2766968548804,1000,0.029999999329447746
15000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1340.822324640347,1000,0.029999999329447746
16000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2885.7215811907386,1000,0.029999999329447746
17000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1244.9406343197297,1000,0.029999999329447746
18000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1235.3940366315321,1000,0.029999999329447746
19000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1213.126333417093,1000,0.029999999329447746
20000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1159.1277171428183,1000,0.029999999329447746
21000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2869.5005048217126,1000,0.029999999329447746
22000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-922.6117436849272,1000,0.029999999329447746
23000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1018.0953097691047,1000,0.029999999329447746
24000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1017.928750682414,1000,0.029999999329447746
25000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1004.8331670800569,1000,0.029999999329447746
26000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2882.2932050273935,1000,0.029999999329447746
27000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1034.0029116826304,1000,0.029999999329447746
28000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-966.0902924801246,1000,0.029999999329447746
29000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1060.8505496073233,1000,0.029999999329447746
30000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-936.4559060285454,1000,0.029999999329447746
31000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-909.6215870127531,1000,0.029999999329447746
32000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2884.950547614542,1000,0.029999999329447746
33000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-836.0797550829855,1000,0.029999999329447746
34000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-833.327117967685,1000,0.029999999329447746
35000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-902.24911614463,1000,0.029999999329447746
36000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-826.1745564061348,1000,0.029999999329447746
37000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-803.8252693606106,1000,0.029999999329447746
38000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-894.3263130139159,1000,0.029999999329447746
39000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-797.5291908608024,1000,0.029999999329447746
40000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1030.8674455382366,1000,0.029999999329447746
41000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-1012.1662938295491,1000,0.029999999329447746
42000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-800.6957601347224,1000,0.029999999329447746
43000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-800.5503786284377,1000,0.029999999329447746
44000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-808.8927652489456,1000,0.029999999329447746
45000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-787.0461615729394,1000,0.029999999329447746
46000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-864.4300636965553,1000,0.029999999329447746
47000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-790.2378482719561,1000,0.029999999329447746
48000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-674.5915461522645,1000,0.029999999329447746
49000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-839.3687892560741,1000,0.029999999329447746
50000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-665.0157626179819,1000,0.029999999329447746
51000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-825.0104736672156,1000,0.029999999329447746
52000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-916.7711956660603,1000,0.029999999329447746
53000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-840.306388904956,1000,0.029999999329447746
54000,1,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-752.9095360427581,1000,0.029999999329447746
