timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-319.85087481213253,1000,0.009999999776482582
2000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-176.9279272973832,1000,0.009999999776482582
3000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.67987309321666,1000,0.009999999776482582
4000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-154.84193392796547,1000,0.009999999776482582
5000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-160.7460714613125,1000,0.009999999776482582
6000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-154.31140482734418,1000,0.009999999776482582
7000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-148.30835857751148,1000,0.009999999776482582
8000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-156.6587155334241,1000,0.009999999776482582
9000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.39718499176143,1000,0.009999999776482582
10000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-144.89310505100153,1000,0.009999999776482582
11000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.02757615755763,1000,0.009999999776482582
12000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-148.76953321460914,1000,0.009999999776482582
13000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-149.67032182830837,1000,0.009999999776482582
14000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-153.04586952840774,1000,0.009999999776482582
15000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.64081939195296,1000,0.009999999776482582
16000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-154.02873712561052,1000,0.009999999776482582
17000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-151.88994746959494,1000,0.009999999776482582
18000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.86169538546744,1000,0.009999999776482582
19000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.38857131874389,1000,0.009999999776482582
20000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-151.17034362822176,1000,0.009999999776482582
21000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.47633305709243,1000,0.009999999776482582
22000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.20623536733962,1000,0.009999999776482582
23000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.59887260668856,1000,0.009999999776482582
24000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-159.35260445539566,1000,0.009999999776482582
25000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-153.60965780392505,1000,0.009999999776482582
26000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.19152209471838,1000,0.009999999776482582
27000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.9280843162366,1000,0.009999999776482582
28000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-148.21664593973063,1000,0.009999999776482582
29000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.98374215688438,1000,0.009999999776482582
30000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.0721409285682,1000,0.009999999776482582
31000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.56024482660862,1000,0.009999999776482582
32000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.8610139377115,1000,0.009999999776482582
33000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-152.89355810751925,1000,0.009999999776482582
34000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-152.26710270363856,1000,0.009999999776482582
35000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.82347337588405,1000,0.009999999776482582
36000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-149.770752049094,1000,0.009999999776482582
37000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-149.80722567696776,1000,0.009999999776482582
38000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-155.9347599224551,1000,0.009999999776482582
39000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.0889121506041,1000,0.009999999776482582
40000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-147.4811250619795,1000,0.009999999776482582
41000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-149.44538347639,1000,0.009999999776482582
42000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-148.88130744659756,1000,0.009999999776482582
43000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-148.5434785392648,1000,0.009999999776482582
44000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-154.93158348421701,1000,0.009999999776482582
45000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.01373302828264,1000,0.009999999776482582
46000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.45277647458641,1000,0.009999999776482582
47000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.47864460833583,1000,0.009999999776482582
48000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.24549324829292,1000,0.009999999776482582
49000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-144.98521404312834,1000,0.009999999776482582
50000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-157.09698782581273,1000,0.009999999776482582
51000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-155.62653961672623,1000,0.009999999776482582
52000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-155.45235327971812,1000,0.009999999776482582
53000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-154.78474327764195,1000,0.009999999776482582
54000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-145.23751292098729,1000,0.009999999776482582
55000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-146.22057937004809,1000,0.009999999776482582
56000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-156.5390022719259,1000,0.009999999776482582
57000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-155.9093837052119,1000,0.009999999776482582
58000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-152.67526525889994,1000,0.009999999776482582
59000,14,90.0,0.1,manual_scaled,0.01,manual_target_p090_alpha_0p01_scale_0.1,-153.1524410786215,1000,0.009999999776482582
