timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-4658.548408089309,1000,0.009999999776482582
2000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-2209.347289363052,1000,0.009999999776482582
3000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1535.0711168471366,1000,0.009999999776482582
4000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1400.1578289940096,1000,0.009999999776482582
5000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1385.4605389065994,1000,0.009999999776482582
6000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1469.2962065728898,1000,0.009999999776482582
7000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1385.3601990572874,1000,0.009999999776482582
8000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1376.208535716391,1000,0.009999999776482582
9000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1372.8544367534244,1000,0.009999999776482582
10000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1454.8360042382815,1000,0.009999999776482582
11000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1452.818270342948,1000,0.009999999776482582
12000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1372.8843323473973,1000,0.009999999776482582
13000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1392.7158464073727,1000,0.009999999776482582
14000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1405.049498268859,1000,0.009999999776482582
15000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1421.6538699730127,1000,0.009999999776482582
16000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1371.7581624038553,1000,0.009999999776482582
17000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1438.0329963239387,1000,0.009999999776482582
18000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1400.007642453754,1000,0.009999999776482582
19000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1382.9383146709038,1000,0.009999999776482582
20000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1363.4486380019407,1000,0.009999999776482582
21000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1380.0093159149806,1000,0.009999999776482582
22000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1394.1406022403976,1000,0.009999999776482582
23000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1425.3613240921397,1000,0.009999999776482582
24000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1466.09954088746,1000,0.009999999776482582
25000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1489.3960589548426,1000,0.009999999776482582
26000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1365.067289377453,1000,0.009999999776482582
27000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1427.7928267405732,1000,0.009999999776482582
28000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1480.289101943061,1000,0.009999999776482582
29000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1409.1280219370879,1000,0.009999999776482582
30000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1406.147141925998,1000,0.009999999776482582
31000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1444.5408219406231,1000,0.009999999776482582
32000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1441.7041987991774,1000,0.009999999776482582
33000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1448.0324771387905,1000,0.009999999776482582
34000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1443.1626600632565,1000,0.009999999776482582
35000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1417.4038985000907,1000,0.009999999776482582
36000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1447.7056534071364,1000,0.009999999776482582
37000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1477.922774988798,1000,0.009999999776482582
38000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1465.1230799403968,1000,0.009999999776482582
39000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1365.4061259630266,1000,0.009999999776482582
40000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1406.0715822619716,1000,0.009999999776482582
41000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1421.0262944475287,1000,0.009999999776482582
42000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1482.1587933978278,1000,0.009999999776482582
43000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1363.5633929734897,1000,0.009999999776482582
44000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1480.8081999056558,1000,0.009999999776482582
45000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1447.3203814111391,1000,0.009999999776482582
46000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1453.9555894577143,1000,0.009999999776482582
47000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1379.8565959321427,1000,0.009999999776482582
48000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1363.889187992078,1000,0.009999999776482582
49000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1456.4997542765486,1000,0.009999999776482582
50000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1477.9715298267627,1000,0.009999999776482582
51000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1476.6044455562458,1000,0.009999999776482582
52000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1370.391456469655,1000,0.009999999776482582
53000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1368.8443389024605,1000,0.009999999776482582
54000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1430.7126576704727,1000,0.009999999776482582
55000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1361.8483467796466,1000,0.009999999776482582
56000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1428.0783997582773,1000,0.009999999776482582
57000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1380.5674220072513,1000,0.009999999776482582
58000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1439.7711143041906,1000,0.009999999776482582
59000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1368.6966997743573,1000,0.009999999776482582
60000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1472.485670663018,1000,0.009999999776482582
61000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1377.328014580022,1000,0.009999999776482582
62000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1435.7286855273583,1000,0.009999999776482582
63000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1429.287234959765,1000,0.009999999776482582
64000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1462.6242943567838,1000,0.009999999776482582
65000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1459.4540683408054,1000,0.009999999776482582
66000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1401.906301944461,1000,0.009999999776482582
67000,11,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1411.9635518524572,1000,0.009999999776482582
