global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
125,episode_end,-165.35255548315624,125,0.2,200.0,,,,,
223,episode_end,-288.6375287746377,98,0.2,200.0,,,,,
333,episode_end,-308.3818928824837,110,0.2,200.0,,,,,
424,episode_end,-336.1052786100313,91,0.2,200.0,,,,,
497,episode_end,-64.53642103844231,73,0.2,200.0,,,,,
588,episode_end,-371.40421603178214,91,0.2,200.0,,,,,
693,episode_end,251.22016600109083,105,0.2,200.0,,,,,
792,episode_end,-290.4466588811495,99,0.2,200.0,,,,,
879,episode_end,-361.7716833356918,87,0.2,200.0,,,,,
959,episode_end,-315.37580166092386,80,0.2,200.0,,,,,
1000,train_step,,,0.2,200.0,1000,,,,
1062,episode_end,-100.28505043297345,103,0.2,200.0,,,,,
1161,episode_end,-60.14993581242273,99,0.2,200.0,,,,,
1254,episode_end,-362.8455778995747,93,0.2,200.0,,,,,
1338,episode_end,139.98131677080272,84,0.2,200.0,,,,,
1422,episode_end,-222.26346705984366,84,0.2,200.0,,,,,
1545,episode_end,-255.7082843614377,123,0.2,200.0,,,,,
1614,episode_end,-155.80392483011462,69,0.2,200.0,,,,,
1732,episode_end,-187.98763117171114,118,0.2,200.0,,,,,
1839,episode_end,-340.5905504523664,107,0.2,200.0,,,,,
1929,episode_end,-433.31917838929263,90,0.2,200.0,,,,,
2000,train_step,,,0.2,200.0,2000,,,,
2086,episode_end,125.15550878884869,157,0.2,200.0,,,,,
2157,episode_end,-209.97625357006984,71,0.2,200.0,,,,,
2280,episode_end,-197.590525254025,123,0.2,200.0,,,,,
2376,episode_end,-296.0365884153158,96,0.2,200.0,,,,,
2451,episode_end,-152.9886321569419,75,0.2,200.0,,,,,
2547,episode_end,-228.16310607167648,96,0.2,200.0,,,,,
2655,episode_end,-389.76720459003457,108,0.2,200.0,,,,,
2778,episode_end,-142.3542337558411,123,0.2,200.0,,,,,
2939,episode_end,-531.2789730018851,161,0.2,200.0,,,,,
3000,train_step,,,0.2,200.0,3000,,,,
3066,episode_end,-235.36118045097953,127,0.2,200.0,,,,,
3189,episode_end,-147.0920091319299,123,0.2,200.0,,,,,
3326,episode_end,-220.68735249446829,137,0.2,200.0,,,,,
3402,episode_end,-155.26519410705268,76,0.2,200.0,,,,,
3494,episode_end,-329.6993213281294,92,0.2,200.0,,,,,
3618,episode_end,-414.70473534978146,124,0.2,200.0,,,,,
3711,episode_end,-211.76827508393336,93,0.2,200.0,,,,,
3867,episode_end,-71.52755180871932,156,0.2,200.0,,,,,
3991,episode_end,-185.45779461204745,124,0.2,200.0,,,,,
4000,train_step,,,0.2,200.0,4000,,,,
4095,episode_end,-109.3025970214719,104,0.2,200.0,,,,,
4198,episode_end,-299.2829114390315,103,0.2,200.0,,,,,
4323,episode_end,-196.31809772083497,125,0.2,200.0,,,,,
4440,episode_end,-252.25589052856284,117,0.2,200.0,,,,,
4584,episode_end,-229.69039273939296,144,0.2,200.0,,,,,
4659,episode_end,-143.82960966722612,75,0.2,200.0,,,,,
4780,episode_end,-216.06196624247815,121,0.2,200.0,,,,,
4915,episode_end,-47.132200152598074,135,0.2,200.0,,,,,
5000,train_step,,,0.2,200.0,5000,,,,
5002,episode_end,-297.29875343035303,87,0.2,200.0,,,,,
5100,episode_end,123.98508057928481,98,0.2,200.0,,,,,
5216,episode_end,-89.75444838567823,116,0.2,200.0,,,,,
5284,episode_end,-178.76705914019544,68,0.2,200.0,,,,,
5358,episode_end,-240.1667085903142,74,0.2,200.0,,,,,
5433,episode_end,143.48305109011676,75,0.2,200.0,,,,,
