Mode: full | seeds=6 | sections=['q1', 'q2', 'q3'] | workers=6
Launching 97 jobs with 6 workers...
  [1/97] run_sac_gt_pendulum[0, 4, 'sac_gt_theta0'] -> ✓
  [2/97] run_sac_gt_pendulum[0, 3, 'sac_gt_theta0'] -> ✓
  [3/97] run_sac_gt_pendulum[0, 5, 'sac_gt_theta0'] -> ✓
  [4/97] run_sac_gt_pendulum[0, 2, 'sac_gt_theta0'] -> ✓
  [5/97] run_sac_gt_pendulum[-60, 1, 'sac_gt_theta-60'] -> ✓
  [6/97] run_sac_gt_pendulum[0, 1, 'sac_gt_theta0'] -> ✓
  [7/97] run_sac_gt_pendulum[-60, 3, 'sac_gt_theta-60'] -> ✓
  [8/97] run_sac_gt_pendulum[-60, 4, 'sac_gt_theta-60'] -> ✓
  [9/97] run_sac_gt_pendulum[-60, 2, 'sac_gt_theta-60'] -> ✓
  [10/97] run_sac_gt_pendulum[90, 1, 'sac_gt_theta90'] -> ✓
  [11/97] run_sac_gt_pendulum[-60, 5, 'sac_gt_theta-60'] -> ✓
  [12/97] run_sac_gt_pendulum[90, 2, 'sac_gt_theta90'] -> ✓
  [13/97] run_sac_gt_pendulum[90, 3, 'sac_gt_theta90'] -> ✓
  [14/97] run_sac_gt_pendulum[90, 4, 'sac_gt_theta90'] -> ✓
  [15/97] run_sac_gt_pendulum[90, 5, 'sac_gt_theta90'] -> ✓
  [16/97] run_sac_gt_pendulum[120, 2, 'sac_gt_theta120'] -> ✓
  [17/97] run_sac_gt_pendulum[120, 1, 'sac_gt_theta120'] -> ✓
  [18/97] run_sac_gt_pendulum[120, 3, 'sac_gt_theta120'] -> ✓
  [19/97] run_sac_gt_pendulum[120, 4, 'sac_gt_theta120'] -> ✓
  [20/97] run_sac_gt_pendulum[-150, 1, 'sac_gt_theta-150'] -> ✓
  [21/97] run_sac_gt_pendulum[120, 5, 'sac_gt_theta120'] -> ✓
  [22/97] run_sac_gt_pendulum[-150, 2, 'sac_gt_theta-150'] -> ✓
  [23/97] run_sac_gt_pendulum[-150, 3, 'sac_gt_theta-150'] -> ✓
  [24/97] run_sac_gt_pendulum[-150, 4, 'sac_gt_theta-150'] -> ✓
  [25/97] run_sac_gt_pendulum[-150, 5, 'sac_gt_theta-150'] -> ✓
  [26/97] run_pebble_pendulum[0, 1, 'pebble_pend_theta0_budget500'] -> ✓
  [27/97] run_pebble_pendulum[0, 0, 'pebble_pend_theta0_budget500'] -> ✓
  [28/97] run_pebble_pendulum[0, 2, 'pebble_pend_theta0_budget500'] -> ✓
  [29/97] run_pebble_pendulum[0, 3, 'pebble_pend_theta0_budget500'] -> ✓
  [30/97] run_pebble_pendulum[0, 4, 'pebble_pend_theta0_budget500'] -> ✓
  [31/97] run_pebble_pendulum[0, 5, 'pebble_pend_theta0_budget500'] -> ✓
  [32/97] run_pebble_pendulum[-60, 0, 'pebble_pend_theta-60_budget500'] -> ✓
  [33/97] run_pebble_pendulum[-60, 1, 'pebble_pend_theta-60_budget500'] -> ✓
  [34/97] run_pebble_pendulum[-60, 2, 'pebble_pend_theta-60_budget500'] -> ✓
  [35/97] run_pebble_pendulum[-60, 3, 'pebble_pend_theta-60_budget500'] -> ✓
  [36/97] run_pebble_pendulum[-60, 4, 'pebble_pend_theta-60_budget500'] -> ✓
  [37/97] run_pebble_pendulum[-60, 5, 'pebble_pend_theta-60_budget500'] -> ✓
  [38/97] run_pebble_pendulum[90, 0, 'pebble_pend_theta90_budget500'] -> ✓
  [39/97] run_pebble_pendulum[90, 1, 'pebble_pend_theta90_budget500'] -> ✓
  [40/97] run_pebble_pendulum[90, 2, 'pebble_pend_theta90_budget500'] -> ✓
  [41/97] run_pebble_pendulum[90, 3, 'pebble_pend_theta90_budget500'] -> ✓
  [42/97] run_pebble_pendulum[90, 4, 'pebble_pend_theta90_budget500'] -> ✓
  [43/97] run_pebble_pendulum[90, 5, 'pebble_pend_theta90_budget500'] -> ✓
  [44/97] run_pebble_pendulum[120, 1, 'pebble_pend_theta120_budget500'] -> ✓
  [45/97] run_pebble_pendulum[120, 0, 'pebble_pend_theta120_budget500'] -> ✓
  [46/97] run_pebble_pendulum[120, 2, 'pebble_pend_theta120_budget500'] -> ✓
  [47/97] run_pebble_pendulum[120, 3, 'pebble_pend_theta120_budget500'] -> ✓
  [48/97] run_pebble_pendulum[120, 4, 'pebble_pend_theta120_budget500'] -> ✓
  [49/97] run_pebble_pendulum[120, 5, 'pebble_pend_theta120_budget500'] -> ✓
  [50/97] run_pebble_pendulum[-150, 0, 'pebble_pend_theta-150_budget500'] -> ✓
  [51/97] run_pebble_pendulum[-150, 1, 'pebble_pend_theta-150_budget500'] -> ✓
  [52/97] run_pebble_pendulum[-150, 2, 'pebble_pend_theta-150_budget500'] -> ✓
  [53/97] run_pebble_pendulum[-150, 3, 'pebble_pend_theta-150_budget500'] -> ✓
  [54/97] run_pebble_pendulum[-150, 4, 'pebble_pend_theta-150_budget500'] -> ✓
  [55/97] run_pebble_pendulum[-150, 5, 'pebble_pend_theta-150_budget500'] -> ✓
  [56/97] run_pebble_pendulum[90, 0, 'pebble_budget50_theta90'] -> ✓
  [57/97] run_pebble_pendulum[90, 1, 'pebble_budget50_theta90'] -> ✓
  [58/97] run_pebble_pendulum[90, 2, 'pebble_budget50_theta90'] -> ✓
  [59/97] run_pebble_pendulum[90, 3, 'pebble_budget50_theta90'] -> ✓
  [60/97] run_pebble_pendulum[90, 4, 'pebble_budget50_theta90'] -> ✓
  [61/97] run_pebble_pendulum[90, 5, 'pebble_budget50_theta90'] -> ✓
  [62/97] run_pebble_pendulum[90, 0, 'pebble_budget200_theta90'] -> ✓
  [63/97] run_pebble_pendulum[90, 1, 'pebble_budget200_theta90'] -> ✓
  [64/97] run_pebble_pendulum[90, 2, 'pebble_budget200_theta90'] -> ✓
  [65/97] run_pebble_pendulum[90, 3, 'pebble_budget200_theta90'] -> ✓
  [66/97] run_pebble_pendulum[90, 4, 'pebble_budget200_theta90'] -> ✓
  [67/97] run_pebble_pendulum[90, 5, 'pebble_budget200_theta90'] -> ✓
  [68/97] run_pebble_pendulum[90, 0, 'pebble_budget500_theta90'] -> ✓
  [69/97] run_pebble_pendulum[90, 1, 'pebble_budget500_theta90'] -> ✓
  [70/97] run_pebble_pendulum[90, 2, 'pebble_budget500_theta90'] -> ✓
  [71/97] run_pebble_pendulum[90, 3, 'pebble_budget500_theta90'] -> ✓
  [72/97] run_pebble_pendulum[90, 4, 'pebble_budget500_theta90'] -> ✓
  [73/97] run_pebble_pendulum[90, 5, 'pebble_budget500_theta90'] -> ✓
  [74/97] run_pebble_pendulum[90, 0, 'pebble_budget1000_theta90'] -> ✓
  [75/97] run_pebble_pendulum[90, 1, 'pebble_budget1000_theta90'] -> ✓
  [76/97] run_pebble_pendulum[90, 2, 'pebble_budget1000_theta90'] -> ✓
  [77/97] run_pebble_pendulum[90, 3, 'pebble_budget1000_theta90'] -> ✓
  [78/97] run_pebble_pendulum[90, 4, 'pebble_budget1000_theta90'] -> ✓
  [79/97] run_pebble_pendulum[90, 5, 'pebble_budget1000_theta90'] -> ✓
  [80/97] run_pebble_reacher['Ra', 0, 'pebble_reacher_Ra_budget1000'] -> ✓
  [81/97] run_pebble_reacher['Ra', 2, 'pebble_reacher_Ra_budget1000'] -> ✓
  [82/97] run_pebble_reacher['Ra', 1, 'pebble_reacher_Ra_budget1000'] -> ✓
  [83/97] run_pebble_reacher['Ra', 3, 'pebble_reacher_Ra_budget1000'] -> ✓
  [84/97] run_pebble_reacher['Ra', 4, 'pebble_reacher_Ra_budget1000'] -> ✓
  [85/97] run_pebble_reacher['Ra', 5, 'pebble_reacher_Ra_budget1000'] -> ✓
  [86/97] run_pebble_reacher['Rb', 0, 'pebble_reacher_Rb_budget1000'] -> ✓
  [87/97] run_pebble_reacher['Rb', 1, 'pebble_reacher_Rb_budget1000'] -> ✓
  [88/97] run_pebble_reacher['Rb', 2, 'pebble_reacher_Rb_budget1000'] -> ✓
  [89/97] run_pebble_reacher['Rb', 3, 'pebble_reacher_Rb_budget1000'] -> ✓
  [90/97] run_pebble_reacher['Rb', 4, 'pebble_reacher_Rb_budget1000'] -> ✓
  [91/97] run_pebble_reacher['Rb', 5, 'pebble_reacher_Rb_budget1000'] -> ✓
  [92/97] run_pebble_reacher['Rc', 2, 'pebble_reacher_Rc_budget1000'] -> ✓
  [93/97] run_pebble_reacher['Rc', 3, 'pebble_reacher_Rc_budget1000'] -> ✓
  [94/97] run_pebble_reacher['Rc', 1, 'pebble_reacher_Rc_budget1000'] -> ✓
  [95/97] run_pebble_reacher['Rc', 0, 'pebble_reacher_Rc_budget1000'] -> ✓
  [96/97] run_pebble_reacher['Rc', 4, 'pebble_reacher_Rc_budget1000'] -> ✓
  [97/97] run_pebble_reacher['Rc', 5, 'pebble_reacher_Rc_budget1000'] -> ✓
Done.
Total wall time: 69506.2s
