# cmd: /home/shriprasad/miniconda3/envs/pa3/bin/python run_experiment.py --kind disc --seed 4 --total-steps 250000 --eval-every 10000
# cwd: /research/assignments/RL/RL-PA3/2.2
# threads_per_worker: 4

RUN  disc_sac seed=4
[step       0] eval return = -768.82
[step   10000] eval return = -757.58
[step   20000] eval return = -58.10
[step   30000] eval return = -209.79
[step   40000] eval return = -234.29
[step   50000] eval return = -257.76
[step   60000] eval return = -310.87
[step   70000] eval return = -348.43
[step   80000] eval return = -442.27
[step   90000] eval return = -460.96
[step  100000] eval return = -683.45
[step  110000] eval return = -758.20
[step  120000] eval return = -758.20
[step  130000] eval return = -758.20
[step  140000] eval return = -758.20
[step  150000] eval return = -758.20
[step  160000] eval return = -758.20
[step  170000] eval return = -758.20
[step  180000] eval return = -758.20
[step  190000] eval return = -758.20
[step  200000] eval return = -758.20
[step  210000] eval return = -758.20
[step  220000] eval return = -758.20
[step  230000] eval return = -758.20
[step  240000] eval return = -758.20
[step  250000] eval return = -758.20
DONE disc_sac seed=4
